id,worker,scenario,paradigm,price importance,price min,price max,outbound departure importance,outbound departure min,outbound departure max,outbound arrival importance,outbound arrival min,outbound arrival max,outbound connections importance,outbound connections min,outbound connections max,outbound duration importance,outbound duration min,outbound duration max,returning departure importance,returning departure min,returning departure max,returning arrival importance,returning arrival min,returning arrival max,returning connections importance,returning connections min,returning connections max,returning duration importance,returning duration min,returning duration max,order1,order2,order3,order4
1,1,7,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,+returning departure,+returning arrival
2,2,18,SortedBoolean,,,,,,,,,,,,,,,,,840,,,,,,,,,,,+outbound arrival,,,
3,3,10,SimpleMAUT,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound departure,+returning departure,+duration
5,5,9,SimpleMAUT,6,300,300,5,1020,1020,4,1200,1200,5,0,0,4,180,180,4,480,480,5,660,660,4,0,0,4,180,180,,,,
6,6,2,SortedBoolean,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,+price,,,
7,7,16,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning departure,+connections,+duration
8,8,16,SortedBoolean,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,
9,9,20,SimpleMAUT,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,20,SortedBoolean,,,,,720,,,,1410,,,,,,,,,765,,,1425,,,,,,,,,,
11,11,9,SimpleMAUT,6,425,425,5,1050,1050,7,1500,1500,3,1,1,4,360,360,5,345,345,7,720,720,4,1,1,4,345,345,,,,
12,12,12,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
13,13,9,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,+price,+duration
14,14,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+returning departure,,
15,15,13,SimpleMAUT,,,,5,0,0,5,360,360,5,0,0,5,0,0,5,0,0,5,360,360,5,0,0,5,0,0,,,,
